HoCoNum,HoCoName,ProvName,DBAName,StateFIPS,Pop_Served
130005,"Absaraka Cooperative Telephone Co., Inc.","Absaraka Cooperative Telephone Co., Inc.","Absaraka Cooperative Telephone Co., Inc.",38,89
901000,"Absolute Best Communications, LLC","Absolute Best Communications, LLC",Smith Valley Internet,32,1611
901001,Acadiana Wireless,Acadiana Wireless,Acadiana Wireless,22,43718
170007,Accelplus,Crawfordsville Electric Light & Power,Accelplus,18,20164
902039,Access Broadband,Access Broadband,AccessMN,27,42157
140001,"Access Cable Television, Inc.","Access Cable Television, Inc.","Access Cable Television, Inc.",21,30706
140001,"Access Cable Television, Inc.","Access Cable Television, Inc.","Access Cable Television, Inc.",47,3522
900064,Access Ohio Valley,Freund Enterprises Inc.,Access Ohio Valley,39,63036
900407,"AccessPlus Communications, Inc.","AccessPlus Communications, Inc.","Country Road Networks, Inc.",25,11730
150200,"Accipiter Communications, Inc.",Accipiter Communications Inc,Zona Communications,04,11598
900016,"ACD Telecom, Inc.","ACD Telecom, Inc.",ACD.net,26,904207
900066,Ace Tekk Wireless Internet,Ace Tekk Wireless Internet,Ace Tekk Wireless Internet,02,95293
130008,Ace Telephone Association,Ace Telephone Association,Ace Communications Group,19,14537
130008,Ace Telephone Association,Ace Telephone Association,Ace Communications Group,27,34383
130008,Ace Telephone Association,"Ace Telephone Company of Michigan, Inc.",Ace Communications Group,26,15108
130008,Ace Telephone Association,Allendale Telephone Company,Ace Communications Group,26,32889
130008,Ace Telephone Association,Drenthe Telephone Company,Drenthe Telephone Company,26,4432
240002,"ACS Business Systems, Inc.","ACS of Alaska, Inc.",Alaska Communications,02,32861
240002,"ACS Business Systems, Inc.","ACS of Anchorage, Inc.",Alaska Communications,02,255381
240002,"ACS Business Systems, Inc.","ACS of Fairbanks, Inc.",Alaska Communications,02,62158
240002,"ACS Business Systems, Inc.","ACS of the Northland, Inc.",Alaska Communications,02,94720
130010,"Action Communications, Inc.",Action Communications,Action Communications,31,58000
130011,"Adak Eagle Enterprises, LLC",Windy City LLC,Windy City LLC,02,4
190013,Adams CATV Inc.,Adams Catv Inc,Adams Cable Service,42,89649
190013,Adams CATV Inc.,Adams CATV Inc.,Adams Cable Service,36,10493
130012,Adams Telephone Co-Operative,Adams Networks,Adams Networks,17,59615
130012,Adams Telephone Co-Operative,"Adams Networks, Inc.",Adams Networks,29,30857
130012,Adams Telephone Co-Operative,"Adams Networks, Inc.","Adams Networks, Inc.",17,6923
130012,Adams Telephone Co-Operative,Adams Telephone Co-Operative,Adams Telephone Co-Operative,17,12050
902096,ADM Technologies Inc,ADM Technologies Inc,ADM Wireless,78,1015
902082,"ADT Systems, Inc.","ADT Systems, Inc.",Rural Texas Broadband,48,29665
900903,Advanced Automation,Advanced Automation,NEOKNET,40,8292
250005,Advanced Broadband,"Advanced Broadband Capshaw, LLC",Advanced Broadband,01,206335
902059,Advanced Computer Connection,Advanced Computer Connection,Wireless Connections,39,136148
900071,"Advanced Computer Solutions, LLC","Advanced Computer Solutions, LLC",Advanced Broadband,01,25689
180002,"Advanza Telecom, Inc.",Advanza Telecom Inc,Advanza Telecom Inc,34,6455
150203,Aero Communications LLC,Heartland Communications Internet Services,Heartland Communications Internet Services,17,3343
900048,Affordable Internet Solutions LLC,Affordable Internet Solutions LLC,Affordable Internet Solutions,31,187653
130017,Agate Mutual Telephone Cooperative Association,Agate Mutual Telephone Cooperative Association,"Prairie Networks, LLC",08,174
900563,"Agavue, LLC","Agavue, LLC",Agave Broadband LLC,35,1839
900024,"A-G Long Distance, Inc.","A-G Long Distance, Inc.",A-G Long Distance,17,2991
250007,"Ag Prospects, LLC","Ag Prospects, LLC","Ag Prospects, LLC",17,9071
902034,"Agri-Valley Broadband, Inc.","Agri-Valley Broadband, Inc.",miSpot,26,523204
130018,"Agri-Valley Communications, Inc.","Agri-Valley Services, Inc.","Agri-Valley Services, Inc.",26,95856
130018,"Agri-Valley Communications, Inc.",Pigeon Telephone Company,Pigeon Telephone Company,26,9935
130018,"Agri-Valley Communications, Inc.",Thumb Cellular LLC,Thumb Cellular,26,122007
130019,"Air Advantage, LLC","Air Advantage, LLC","Air Advantage, LLC",26,537243
200062,"Airband Communications, Inc.",Airband Communications Inc,Airband Communications Inc,04,1647074
200062,"Airband Communications, Inc.","Airband Communications, Inc.","Airband Communications, Inc.",42,853734
250009,AireBeam,FibAire Communications LLC,AireBeam,04,186954
902040,AirFiber,AirFiber,AirFiber,27,44049
900749,"AIRGRANT.COM, INC.","AIRGRANT.COM, INC.","AIRGRANT.COM, INC.",26,22597
901002,"Air Internet, Inc.","Air-Internet, Inc.",Air-Internet.com,32,40565
240003,AirLink Internet Services,AirLinkBroadband,AirLinkBroadband,27,99923
240003,AirLink Internet Services,AirLink Internet Services LLC.,AirLink Internet Services LLC.,40,41517
902045,"Air Link Rural Broadband, LLC","Air Link Rural Broadband, LLC",Air Link,29,40265
902064,Airosurf Communications,Airosurf Communications,Airosurf Communications,40,541036
210102,Air Speed LLC,"Air Speed, LLC","Air Speed Internet, LLC",53,408401
190018,Alabama Broadband,"Alabama Broadband, LLC","Alabama Broadband, LLC",01,39423
902000,Alabama HighSpeed,Alabama HighSpeed,Alabama HighSpeed,01,65604
902083,"Alamo Broadband, Inc.","Alamo Broadband, Inc.","Alamo Broadband, Inc.",48,33353
190019,"AlasConnect, Inc.","AlasConnect, Inc.","AlasConnect, Inc.",02,98012
130028,"Alaska Communications Systems Holdings, Inc.",ACS Wireless Inc.,Alaska Communications,02,592012
130029,"Alaska Power & Telephone, Inc.",Alaska Telephone Company,Alaska Power & Telephone,02,11857
130029,"Alaska Power & Telephone, Inc.",Alaska Telephone Company,"AP&T Wireless, Inc.",02,6293
130031,Albany Mutual Telephone Association,Albany Mutual Telephone Association,Albany Mutual Telephone Association,27,9361
130032,"Albion Telephone Company, Inc.","Albion Telephone Company, Inc.","Albion Telephone Company, Inc.",49,21
130032,"Albion Telephone Company, Inc.",ALBION TELEPHONE COMPANY INC,ALBION TELEPHONE COMPANY INC,49,1
130032,"Albion Telephone Company, Inc.",ATC Communications,Albion Telephone Company,16,11090
900073,Aledo Broadband,Aledo Broadband,Aledo Broadband,48,35506
130034,"Alenco Communications, Inc.","Alenco Communications, Inc.",ACI,48,4573
130034,"Alenco Communications, Inc.","Alenco Communications, Inc.","Alenco Communications, Inc.",48,119927
130034,"Alenco Communications, Inc.","Pathway Com-Tel, Inc.","Pathway Com-Tel, Inc.",48,10341
150343,"AL-GA Wireless Broadband, LLC",AL-GA Wireless,"AL-GA Wireless Broadband, LLC",01,12268
150343,"AL-GA Wireless Broadband, LLC",AL-GA Wireless Broadband LLC,AL-GA Wireless Broadband LLC,13,2292
130035,Algona Municipal Utilities,Algona Municipal Utilities,Algona Municipal Utilities,19,6458
160103,Allband Communications Cooperative,Allband Communications Cooperative,Allband Communications Cooperative,26,322
150206,"Allegiance Communications Holdings, LLC",Allegiance Communications,Allegiance CATV,48,43668
150206,"Allegiance Communications Holdings, LLC","Allegiance Communications, LLC",Allegiance CATV,20,64594
150206,"Allegiance Communications Holdings, LLC","Allegiance Communications, LLC",Allegiance Communications,40,138232
150206,"Allegiance Communications Holdings, LLC",ALLEGIANCE COMMUNICATIONS LLC,ALLEGIANCE COMMUNICATIONS LLC,05,48319
130039,"Allen's TV Cable Service, Inc.",AllensTV,AllensTV,22,69182
130040,"Alliance Communications Cooperative, Inc.",Alliance Communications,Alliance Communications,46,22914
130040,"Alliance Communications Cooperative, Inc.",Alliance Communications,Hills Telephone Company,19,4688
130040,"Alliance Communications Cooperative, Inc.",Alliance Communications,Splitrock,46,2731
130040,"Alliance Communications Cooperative, Inc.","Alliance Communications Cooperative, Inc.","Alliance Communications Cooperative, Inc.",27,1697
900482,Alliance Data Services LLC,Alliance Data Services LLC,SmartNet,78,47819
220005,"Allied Telecom Group, LLC","Allied Telecom Group, LLC","Allied Telecom Group, LLC",11,366034
220005,"Allied Telecom Group, LLC","Allied Telecom Group, LLC","Allied Telecom Group, LLC",24,24439
190504,Allo Communications,Allo Communications,Allo Communications,31,40673
900046,Alltel Wireless,AWCC,Alltel,13,1145329
210006,AllureTech-Coffeynet,AllureTech-CoffeyNet,AllureTech-CoffeyNet,56,72385
130037,"All West Communications, Inc.",All West Communications,All West Communications,56,14882
130037,"All West Communications, Inc.",All West Communications,"All West Communications, Inc.",49,22079
130043,Alma Communications Company,Alma Communications Company,Alma Telephone Company,29,718
130044,"Alma Telecom, Inc.","AL-Call, Inc.",ATC,13,18382
130045,"Alpine Communications, LLC","Alpine Long Distance, LC","Alpine Long Distance, LC",19,13500
900750,Alsat Wireless,Alsat Wireless,Alsat Wireless,29,13073
130046,Alta Municipal Utilities,Alta Municipal Utilities,Altatec,19,1914
190023,"ALTAZIP, Inc.","Altazip, Inc.","Altazip, Inc.",49,57628
900744,ALTIUS Broadband,ALTIUS Broadband,ALTIUS Broadband,21,118005
900744,ALTIUS Broadband,ALTIUS Communications LLC,ALTIUS Broadband,24,97858
270011,Alyrica,Alyrica,Alyrica,41,439493
170001,Am‚rica M¢vil,Puerto Rico Telephone Company Inc.,Claro Internet,72,1778884
170001,Am‚rica M¢vil,Puerto Rico Telephone Company Inc.,Claro Movil,72,3019542
131226,American Broadband Communications et al.,AMATechTel,AMA Communications LLC,48,678607
131226,American Broadband Communications et al.,American Broadband Communications,Holway Telephone Company,29,2626
131226,American Broadband Communications et al.,American Broadband Communications,KLM Telephone Company,29,3540
131226,American Broadband Communications et al.,American Broadband Communications,N. W. Communications,29,495
131226,American Broadband Communications et al.,"Cameron Telephone Company, LLC",Cameron Communications,22,12368
131226,American Broadband Communications et al.,"Elizabeth Telephone Company, LLC",Cameron Communications,22,8369
131226,American Broadband Communications et al.,Georgetown Telephone Company Inc.,Georgetown Telephone Company Inc.,28,1314
131226,American Broadband Communications et al.,Gridley Telephone Co.,Gridley Telephone Co.,17,3792
131226,American Broadband Communications et al.,"Huntel, Inc.",Huntel Cablevision,31,119455
131226,American Broadband Communications et al.,"Huntel, Inc.",Huntel Communications,31,16867
131226,American Broadband Communications et al.,"Huntel, Inc.","Huntel, Inc.",31,27959
131226,American Broadband Communications et al.,"LBH, LLC",Cameron Communications,22,22207
131226,American Broadband Communications et al.,"Newcastle Holdings, Inc.",Dalton Telecommunications Inc.,31,3017
131226,American Broadband Communications et al.,"Northwest Missouri Holdings, Inc.",Oregon Farmers Mutual Telephone Company,29,1865
131226,American Broadband Communications et al.,"Rye Telephone Company, Inc.",ghValley.net,08,5546
131226,American Broadband Communications et al.,"S&A Telephone Company, Inc.","S&A Telephone Company, Inc.",20,2229
131226,American Broadband Communications et al.,"South Park Telephone Company, LLC",ghValley.net,08,2802
131226,American Broadband Communications et al.,"TelAlaska, Inc.","TelAlaska, Inc.",02,5057
131226,American Broadband Communications et al.,"Waverly Hall Telephone, LLC","Waverly Hall Telephone, LLC",13,4279
900653,American Samoa Entertainment Inc,American Samoa Entertainment Inc,Moana TV,60,33180
130054,American Samoa Telecommunications Authority,ASTCA,ASTCA,60,49112
240004,"American Wireless, Inc.","AMERICAN WIRELESS, INC",SKYVIEW-TECHNOLOGIES,49,179993
130057,"Amery Telcom, Inc.",Amery Telecom,Northwest Communications,55,12768
130057,"Amery Telcom, Inc.",Northwest Community Communications,Northwest Communications,55,16380
130057,"Amery Telcom, Inc.",Somerset Telephone Company,Northwest Communications,55,8123
130058,Amherst Telephone Company,Amherst Telephone Company,Amherst Telephone Company,55,10175
130059,"Amplex Electric, Inc.",Amplex Wireless,Amplex Wireless,39,351912
901003,Anvil Communications,Anvil Communications,Anvil Communications,48,18947
902052,"Appia Communications, Inc.","Appia Communications, Inc.","Appia Communications, Inc.",34,14
130065,Arapahoe Telephone Company,Arapahoe Telephone Company,"Applied Communications Technology, Inc",31,711
130065,Arapahoe Telephone Company,Arapahoe Telephone Company,ATC Communications,31,4172
130065,Arapahoe Telephone Company,Arapahoe Telephone Company,ATCJet.Net LLC,31,99790
250014,"Arbuckle Communications, Inc.","Arbuckle Communications, Inc.",Arbuckle Wireless,40,96079
130066,Arcadia Telephone Cooperative,Arcadia Telephone Cooperative,Arcadia Telephone Cooperative,19,779
130066,Arcadia Telephone Cooperative,"Monarc Technologies, LLC","Monarc Technologies, LLC",19,3312
900507,"Argent Communications, LLC","Argent Communications, LLC",Argent Communications,33,139
270012,Aristotle Inc.,Aristotle.Net Inc.,Aristotle.Net Inc.,05,278661
250100,Arizona Nevada Tower Corporation,Arizona Nevada Tower Corporation,Atmosplash,32,253765
250100,Arizona Nevada Tower Corporation,Arizona Nevada Tower Corporation,WestNet,32,65426
130069,"Arkansas Telephone Company, Inc.",Arkansas Telephone Co.,Arkansas Telephone Co.,05,11407
900487,Arklaoktex LLC,Arklaoktex LLC,Reach Broadband,48,75210
130070,"Arkwest Communications, Inc.",Arkwest Communications,Arkwest Communications,05,10937
130071,"Armstrong Holdings, Inc.","Armstrong Holdings, Inc.",Armstrong Telephone Company - Northern Division,54,13273
130071,"Armstrong Holdings, Inc.","Armstrong Holdings, Inc.",Armstrong Telephone Company-WV,54,14085
130071,"Armstrong Holdings, Inc.","Armstrong Holdings, Inc.","Armstrong Utilities, Inc.",54,21795
130071,"Armstrong Holdings, Inc.",Armstrong Tele Co,Armstrong Telephone - North (Duke Center),42,1745
130071,"Armstrong Holdings, Inc.",Armstrong Tele Co,Armstrong Telephone- PA (Clinton Area),42,5973
130071,"Armstrong Holdings, Inc.",Armstrong Telephone Co of New York,Armstrong Telephone,36,9091
130071,"Armstrong Holdings, Inc.",Armstrong Utilities,Armstrong Utilities,21,24962
130071,"Armstrong Holdings, Inc.",Armstrong Utilities,Armstrong Utilities,42,535121
130071,"Armstrong Holdings, Inc.","Armstrong Utilities, Inc.",Armstrong Cable Services,24,107425
130071,"Armstrong Holdings, Inc.","Armstrong Utilities, Inc.",Armstrong Cable Services,39,311672
900006,Aroostook Technologies Inc.,Aroostook Technologies Inc.,Aroostook Technologies Inc.,23,20539
900391,Arvig Communications Systems,Arvig Communication Systems,Arvig Communication Systems,27,89481
130074,"Arvig Enterprises, Inc.",Arrowhead Communications Corporation,Arrowhead Communications Corporation,27,1217
130074,"Arvig Enterprises, Inc.",Clements Telephone,Arvig Communication Systems,27,279
130074,"Arvig Enterprises, Inc.",Eagle Valley Telephone Company,Eagle Valley Telephone Company,27,1751
130074,"Arvig Enterprises, Inc.",Felton Telephone Company,Felton Telephone Company,27,901
130074,"Arvig Enterprises, Inc.",Home Telephone Company,Southern Cablevision,27,46531
130074,"Arvig Enterprises, Inc.","Loretel Systems, Inc.","Loretel Systems, Inc.",27,20777
130074,"Arvig Enterprises, Inc.",Mainstreet Communications,Arvig,27,5658
130074,"Arvig Enterprises, Inc.",Melrose Telephone Company,Arvig,27,24833
130074,"Arvig Enterprises, Inc.",Redwood County Telephone,Arvig Communication Systems,27,70327
900655,Ashland Fiber Network,Ashland Fiber Network,Ashland Fiber Network,41,20832
900655,Ashland Fiber Network,City of Ashland Ashland Fiber Network,Ashland Fiber Network,41,22540
900430,"Astound Broadband, LLC","Astound Broadband, LLC",Astound Broadband,06,646098
900429,ATC Broadband LLC,ATC Broadband LLC,ATC Broadband LLC,13,22814
170006,"ATG Communications, LLC","ATG Communications, LLC",Advanced Technology Group,13,303293
170014,Atkins Telephone Company,"Atkins Telephone Company, Inc.","ATC Communications, Inc.",19,1576
170014,Atkins Telephone Company,"Atkins Telephone Company, Inc.","Atkins Telephone Company, Inc.",19,2925
190508,"Atlantech Online, Inc.","Atlantech Online, Inc.","Atlantech Online, Inc.",24,4382
900353,Atlantic Seawinds LLC.,"Atlantic Seawinds Communications, LLC",ATMC Wireless,37,178490
130081,Atlantic Tele-Network,Choice Communications,Choice Communications,78,60935
130082,Atlantic Telephone Membership Corporation,Atlantic Telephone Membership Corporation,ATMC,37,76495
130077,AT&T Inc.,"AT&T Communications of Texas, Inc",AT&T Southwest,05,1509044
130077,AT&T Inc.,"AT&T Communications of Texas, Inc",AT&T Southwest,29,3658502
130077,AT&T Inc.,"AT&T Communications of Texas, Inc",AT&T Southwest,40,2412308
130077,AT&T Inc.,"AT&T Communications of Texas, Inc.",AT&T Southwest,20,2113388
130077,AT&T Inc.,"AT&T Communications of Texas, Inc.",AT&T Southwest,48,17144143
130077,AT&T Inc.,AT&T Inc,AT&T Mobility LLC,04,6181557
130077,AT&T Inc.,AT&T Inc.,AT&T Inc.,32,548713
130077,AT&T Inc.,AT&T Inc.,AT&T Mobility LLC,32,2732517
130077,AT&T Inc.,AT&T Mobility,AT&T Mobility LLC,31,1150110
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Inc.,23,945787
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility,12,19101091
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility,36,19034138
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility,50,560737
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,01,4707779
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,02,617637
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,05,2873751
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,09,3581604
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,10,910542
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,11,617628
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,13,9141508
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,15,1368185
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,16,1396922
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,17,12059886
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,18,6258204
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,19,2370957
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,20,2373862
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,21,3843582
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,22,4504693
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,24,5808401
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,25,6552941
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,26,9104902
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,27,5307342
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,28,2833267
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,30,903659
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,31,726357
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,33,1194212
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,34,8835092
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,35,1880210
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,37,9176942
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,38,678543
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,39,11070707
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,40,3564219
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,41,3715961
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,42,12315627
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,44,1047036
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,45,4490048
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,46,819485
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,47,5977093
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,48,25439135
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,49,2840990
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,53,6618715
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,54,1502751
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,55,4551470
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,56,415643
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,72,3108005
130077,AT&T Inc.,AT&T Mobility LLC,AT&T Mobility LLC,78,90963
130077,AT&T Inc.,"AT&T Mobility, LLC.","AT&T Mobility, LLC.",29,5716322
130077,AT&T Inc.,AT&T MOBILITY LLC,AT&T MOBILITY LLC,51,7693763
130077,AT&T Inc.,"BellSouth Telecommunications, Inc.",AT&T Alabama,01,2966290
130077,AT&T Inc.,"BellSouth Telecommunications, Inc.",AT&T Florida,12,10583649
130077,AT&T Inc.,"BellSouth Telecommunications, Inc.",AT&T Georgia,13,7413906
130077,AT&T Inc.,"BellSouth Telecommunications, Inc.",AT&T Kentucky,21,1955306
130077,AT&T Inc.,"BellSouth Telecommunications, Inc.",AT&T Louisiana,22,3529324
130077,AT&T Inc.,"BellSouth Telecommunications, Inc.",AT&T Mississippi,28,2221131
130077,AT&T Inc.,"BellSouth Telecommunications, Inc.",AT&T North Carolina,37,4290130
130077,AT&T Inc.,"BellSouth Telecommunications, Inc.",AT&T South Carolina,45,2614236
130077,AT&T Inc.,"BellSouth Telecommunications, Inc.",AT&T Tennessee,47,4369896
130077,AT&T Inc.,Illinois Bell Telephone Company,AT&T Illinois,17,9724778
130077,AT&T Inc.,Indiana Bell Telephone Company,AT&T Indiana,18,3359086
130077,AT&T Inc.,Michigan Bell Telephone Company,AT&T Michigan,26,7145400
130077,AT&T Inc.,New Cingular Wireless PCS LLC et al,AT&T Mobility,06,37743672
130077,AT&T Inc.,"New Cingular Wireless Services, Inc","AT&T Corp, Inc.",08,4974897
130077,AT&T Inc.,PACIFIC BELL TELEPHONE COMPANY,AT&T California,06,26626803
130077,AT&T Inc.,The Ohio Bell Telephone Company,AT&T Ohio,39,5876507
130077,AT&T Inc.,The Southern New England Telephone Company,AT&T East,09,3428950
130077,AT&T Inc.,"Wisconsin Bell, Inc",AT&T Wisconsin,55,2907430
130084,"Atwood Cable Systems, Inc.","Atwood Cable Systems, Inc.","Atwood Cable Systems, Inc.",20,1151
900080,Aurora Cable TV,Aurora Cable TV,Aurora Cable TV; Benton County Cable,47,4486
900751,"Avant Wireless, LLC",Avant Wireless LLC,Avant Wireless,32,290428
170015,"Aventure Communication Technology, LLC",Aventure Communication Technologies L.L.C.,Aventure Communication Technologies L.L.C.,19,35969
900567,"Avolve, Inc.","Avolve, Inc.",Avolve,39,47508
190037,"Awesomenet, Inc.","AwesomeNet, Inc.",AwesomeNet,48,397961
140012,Axiom Technologies,"Axiom Technologies, LLC",Axiom Technologies,23,987461
130086,Axxis Communications-Gorge Networks,Axxis Communications,Axxis Communications,41,30419
130086,Axxis Communications-Gorge Networks,Axxis Communications,Axxis Communications,53,9238
130086,Axxis Communications-Gorge Networks,Gorge Networks,Gorge Networks,41,35806
130086,Axxis Communications-Gorge Networks,Gorge Networks,Gorge Networks,53,11980
130087,Ayersville Telephone Company,Ayersville Telephone Company,Ayersville Telephone Company,39,2386
130088,Ayrshire Farmers Mutual Telephone Company,Ayrshire Farmers Mutual Telephone Company,Ayrshire Communications,19,1377
130088,Ayrshire Farmers Mutual Telephone Company,Ayrshire Farmers Mutual Telephone Company,Ayrshire Farmers Mutual Telephone Company,19,2036
900752,Ayustar Corporation,Ayustar Corporation,Ayustar Corporation,72,84429
190038,"Azulstar, Inc.","Azulstar, Inc.","Azulstar, Inc.",26,257578
902092,B2X Online Inc,B2X Online Inc,B2X Online Inc,51,466177
130090,"Baca Valley Telephone Company, Inc.","Baca Valley Telephone Company, Inc.",Baca Valley Telephone Company,35,46
130090,"Baca Valley Telephone Company, Inc.",Sierra Communications,Sierra Communications (a subsidiary of Baca Valley Telephone),35,6956
902073,BackWoods Wireless,BackWoods Wireless,BackWoods Wireless,42,101114
270015,"Bailey Cable TV, Inc.",Bailey Cable TV,Bailey Cable TV,28,6920
270015,"Bailey Cable TV, Inc.","Bailey Cable TV, Inc.",Audubon Cablevision,22,16104
180004,Baja Broadband Holding Company LLC,Baja Broadband Holding Company,"Baja Broadband, LLC",48,23288
180004,Baja Broadband Holding Company LLC,Baja Broadband Holding Company,"Baja Broadband Operating Company, LLC",08,114654
180004,Baja Broadband Holding Company LLC,Baja Broadband Holding Company LLC,Baja Broadband Holding Company,49,134192
180004,Baja Broadband Holding Company LLC,Baja Broadband Holding Company LLC,Baja Broadband Operating Company LLC,04,483
180004,Baja Broadband Holding Company LLC,"Baja Broadband Holding Company, LLC","Baja Broadband, LLC",32,15792
180004,Baja Broadband Holding Company LLC,"Baja Broadband Operating Company, LLC",Baja Broadband,35,141205
902050,"Bakken Wireless, LLC","Bakken Wireless, LLC","Bakken Wireless, LLC",38,2522
130092,"Baldwin Nashville Telephone Company, Inc.","Baldwin Nashville Telephone Company, Inc.","Baldwin Nashville Telephone Company, Inc.",19,765
130093,"Baldwin Telecom, Inc.","Baldwin Telecom, Inc.",Baldwin Broadband LLC.,55,6756
130093,"Baldwin Telecom, Inc.","Baldwin Telecom, Inc.","Baldwin Telecom, Inc.",55,21505
130094,"Ballard Rural Telephone Cooperative Corporation, Inc.",BTC,Ballard Telephone Cooperative,21,12778
900529,Banicon Inc.,Banicon Inc.,Computerese-CIN.net,17,614584
901004,"Banyan OnLine Services, LLC","Banyan OnLine Services, LLC",Banyanol,26,31232
